,city,match_link,actual_link
0,Bengaluru,https://www.espncricinfo.com/ci/engine/match/1034829.html,https://www.espncricinfo.com/series/england-tour-of-india-2016-17-1030195/india-vs-england-3rd-t20i-1034829/live-cricket-score
1,Kingston,https://www.espncricinfo.com/ci/engine/match/1098211.html,https://www.espncricinfo.com/series/wi-v-ind-2017-1098203/west-indies-vs-india-only-t20i-1098211/live-cricket-score
2,Colombo (RPS),https://www.espncricinfo.com/ci/engine/match/1133817.html,https://www.espncricinfo.com/series/nidahas-t20-series-2017-18-1133811/sri-lanka-vs-india-1st-match-1133817/live-cricket-score
3,Eden Gardens,https://www.espncricinfo.com/ci/engine/match/1157759.html,https://www.espncricinfo.com/series/west-indies-in-india-2018-19-1157747/india-vs-west-indies-1st-t20i-1157759/live-cricket-score
4,Lucknow,https://www.espncricinfo.com/ci/engine/match/1157760.html,https://www.espncricinfo.com/series/west-indies-in-india-2018-19-1157747/india-vs-west-indies-2nd-t20i-1157760/live-cricket-score
5,Chennai,https://www.espncricinfo.com/ci/engine/match/1157761.html,https://www.espncricinfo.com/series/west-indies-in-india-2018-19-1157747/india-vs-west-indies-3rd-t20i-1157761/live-cricket-score
6,Brisbane,https://www.espncricinfo.com/ci/engine/match/1144990.html,https://www.espncricinfo.com/series/india-in-aus-2018-19-1145097/australia-vs-india-1st-t20i-1144990/live-cricket-score
7,Sydney,https://www.espncricinfo.com/ci/engine/match/1144992.html,https://www.espncricinfo.com/series/india-in-aus-2018-19-1145097/australia-vs-india-3rd-t20i-1144992/live-cricket-score
8,Wellington,https://www.espncricinfo.com/ci/engine/match/1153696.html,https://www.espncricinfo.com/series/india-in-new-zealand-2018-19-1153688/new-zealand-vs-india-1st-t20i-1153696/live-cricket-score
9,Auckland,https://www.espncricinfo.com/ci/engine/match/1153697.html,https://www.espncricinfo.com/series/india-in-new-zealand-2018-19-1153688/new-zealand-vs-india-2nd-t20i-1153697/live-cricket-score
10,Hamilton,https://www.espncricinfo.com/ci/engine/match/1153698.html,https://www.espncricinfo.com/series/india-in-new-zealand-2018-19-1153688/new-zealand-vs-india-3rd-t20i-1153698/live-cricket-score
11,Visakhapatnam,https://www.espncricinfo.com/ci/engine/match/1168247.html,https://www.espncricinfo.com/series/aus-in-ind-2018-19-1168237/india-vs-australia-1st-t20i-1168247/live-cricket-score
12,Lauderhill,https://www.espncricinfo.com/ci/engine/match/1188621.html,https://www.espncricinfo.com/series/india-tour-of-west-indies-2019-1188617/india-vs-west-indies-1st-t20i-1188621/live-cricket-score
13,Providence,https://www.espncricinfo.com/ci/engine/match/1188623.html,https://www.espncricinfo.com/series/india-tour-of-west-indies-2019-1188617/west-indies-vs-india-3rd-t20i-1188623/live-cricket-score
14,Mohali,https://www.espncricinfo.com/ci/engine/match/1187005.html,https://www.espncricinfo.com/series/south-africa-in-india-2019-20-1186975/india-vs-south-africa-2nd-t20i-1187005/live-cricket-score
15,Delhi,https://www.espncricinfo.com/ci/engine/match/1187013.html,https://www.espncricinfo.com/series/bangladesh-in-india-2019-20-1186982/india-vs-bangladesh-1st-t20i-1187013/live-cricket-score
16,Nagpur,https://www.espncricinfo.com/ci/engine/match/1187015.html,https://www.espncricinfo.com/series/bangladesh-in-india-2019-20-1186982/india-vs-bangladesh-3rd-t20i-1187015/live-cricket-score
17,Hyderabad,https://www.espncricinfo.com/ci/engine/match/1187018.html,https://www.espncricinfo.com/series/west-indies-in-india-2019-20-1186986/india-vs-west-indies-1st-t20i-1187018/live-cricket-score
18,Thiruvananthapuram,https://www.espncricinfo.com/ci/engine/match/1187019.html,https://www.espncricinfo.com/series/west-indies-in-india-2019-20-1186986/india-vs-west-indies-2nd-t20i-1187019/live-cricket-score
19,Wankhede,https://www.espncricinfo.com/ci/engine/match/1187020.html,https://www.espncricinfo.com/series/west-indies-in-india-2019-20-1186986/india-vs-west-indies-3rd-t20i-1187020/live-cricket-score
20,Indore,https://www.espncricinfo.com/ci/engine/match/1202243.html,https://www.espncricinfo.com/series/sri-lanka-tour-of-india-2019-20-1202239/india-vs-sri-lanka-2nd-t20i-1202243/live-cricket-score
21,Ahmedabad,https://www.espncricinfo.com/ci/engine/match/1243388.html,https://www.espncricinfo.com/series/england-tour-of-india-2020-21-1243364/india-vs-england-1st-t20i-1243388/live-cricket-score
22,Dubai (DSC),https://www.espncricinfo.com/ci/engine/match/1273727.html,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2021-22-1267897/india-vs-pakistan-16th-match-group-2-1273727/live-cricket-score
23,Abu Dhabi,https://www.espncricinfo.com/ci/engine/match/1273744.html,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2021-22-1267897/afghanistan-vs-india-33rd-match-group-2-1273744/live-cricket-score
24,Jaipur,https://www.espncricinfo.com/ci/engine/match/1278671.html,https://www.espncricinfo.com/series/new-zealand-in-india-2021-22-1278658/india-vs-new-zealand-1st-t20i-1278671/live-cricket-score
25,Ranchi,https://www.espncricinfo.com/ci/engine/match/1278672.html,https://www.espncricinfo.com/series/new-zealand-in-india-2021-22-1278658/india-vs-new-zealand-2nd-t20i-1278672/live-cricket-score
26,Cuttack,https://www.espncricinfo.com/ci/engine/match/1278688.html,https://www.espncricinfo.com/series/south-africa-in-india-2022-1278669/india-vs-south-africa-2nd-t20i-1278688/live-cricket-score
27,Rajkot,https://www.espncricinfo.com/ci/engine/match/1278690.html,https://www.espncricinfo.com/series/south-africa-in-india-2022-1278669/india-vs-south-africa-4th-t20i-1278690/live-cricket-score
28,Birmingham,https://www.espncricinfo.com/ci/engine/match/1276905.html,https://www.espncricinfo.com/series/india-in-england-2022-1276893/england-vs-india-2nd-t20i-1276905/live-cricket-score
29,Nottingham,https://www.espncricinfo.com/ci/engine/match/1276906.html,https://www.espncricinfo.com/series/india-in-england-2022-1276893/england-vs-india-3rd-t20i-1276906/live-cricket-score
30,Tarouba,https://www.espncricinfo.com/ci/engine/match/1317903.html,https://www.espncricinfo.com/series/india-in-west-indies-2022-1317885/west-indies-vs-india-1st-t20i-1317903/live-cricket-score
31,Basseterre,https://www.espncricinfo.com/ci/engine/match/1317904.html,https://www.espncricinfo.com/series/india-in-west-indies-2022-1317885/west-indies-vs-india-2nd-t20i-1317904/live-cricket-score
32,Melbourne,https://www.espncricinfo.com/ci/engine/match/1298176.html,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2022-23-1298134/india-vs-zimbabwe-42nd-match-group-2-1298176/live-cricket-score
33,Adelaide,https://www.espncricinfo.com/ci/engine/match/1298178.html,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2022-23-1298134/england-vs-india-2nd-semi-final-1298178/live-cricket-score
34,Mount Maunganui,https://www.espncricinfo.com/ci/engine/match/1322276.html,https://www.espncricinfo.com/series/india-in-new-zealand-2022-23-1322272/new-zealand-vs-india-2nd-t20i-1322276/live-cricket-score
35,Napier,https://www.espncricinfo.com/ci/engine/match/1322277.html,https://www.espncricinfo.com/series/india-in-new-zealand-2022-23-1322272/new-zealand-vs-india-3rd-t20i-1322277/live-cricket-score
36,Johannesburg,https://www.espncricinfo.com/ci/engine/match/350475.html,https://www.espncricinfo.com/series/australia-tour-of-south-africa-2008-09-350462/south-africa-vs-australia-1st-t20i-350475/live-cricket-score
37,Centurion,https://www.espncricinfo.com/ci/engine/match/350476.html,https://www.espncricinfo.com/series/australia-tour-of-south-africa-2008-09-350462/south-africa-vs-australia-2nd-t20i-350476/live-cricket-score
38,The Oval,https://www.espncricinfo.com/ci/engine/match/355993.html,https://www.espncricinfo.com/series/icc-world-twenty20-2009-335113/australia-vs-west-indies-3rd-match-group-c-355993/live-cricket-score
39,Manchester,https://www.espncricinfo.com/ci/engine/match/350050.html,https://www.espncricinfo.com/series/australia-tour-of-england-and-scotland-2009-345967/england-vs-australia-1st-t20i-350050/live-cricket-score
