,city,date,match_link
0,Bengaluru,1 Feb 2017,https://www.espncricinfo.com/ci/engine/match/1034829.html
1,Kingston,9 Jul 2017,https://www.espncricinfo.com/ci/engine/match/1098211.html
2,Colombo (RPS),6 Mar 2018,https://www.espncricinfo.com/ci/engine/match/1133817.html
3,Colombo (RPS),8 Mar 2018,https://www.espncricinfo.com/ci/engine/match/1133818.html
4,Eden Gardens,4 Nov 2018,https://www.espncricinfo.com/ci/engine/match/1157759.html
5,Lucknow,6 Nov 2018,https://www.espncricinfo.com/ci/engine/match/1157760.html
6,Chennai,11 Nov 2018,https://www.espncricinfo.com/ci/engine/match/1157761.html
7,Brisbane,21 Nov 2018,https://www.espncricinfo.com/ci/engine/match/1144990.html
8,Sydney,25 Nov 2018,https://www.espncricinfo.com/ci/engine/match/1144992.html
9,Wellington,6 Feb 2019,https://www.espncricinfo.com/ci/engine/match/1153696.html
10,Auckland,8 Feb 2019,https://www.espncricinfo.com/ci/engine/match/1153697.html
11,Hamilton,10 Feb 2019,https://www.espncricinfo.com/ci/engine/match/1153698.html
12,Visakhapatnam,24 Feb 2019,https://www.espncricinfo.com/ci/engine/match/1168247.html
13,Bengaluru,27 Feb 2019,https://www.espncricinfo.com/ci/engine/match/1168248.html
14,Lauderhill,3 Aug 2019,https://www.espncricinfo.com/ci/engine/match/1188621.html
15,Lauderhill,4 Aug 2019,https://www.espncricinfo.com/ci/engine/match/1188622.html
16,Providence,6 Aug 2019,https://www.espncricinfo.com/ci/engine/match/1188623.html
17,Mohali,18 Sep 2019,https://www.espncricinfo.com/ci/engine/match/1187005.html
18,Bengaluru,22 Sep 2019,https://www.espncricinfo.com/ci/engine/match/1187006.html
19,Delhi,3 Nov 2019,https://www.espncricinfo.com/ci/engine/match/1187013.html
20,Nagpur,10 Nov 2019,https://www.espncricinfo.com/ci/engine/match/1187015.html
21,Hyderabad,6 Dec 2019,https://www.espncricinfo.com/ci/engine/match/1187018.html
22,Thiruvananthapuram,8 Dec 2019,https://www.espncricinfo.com/ci/engine/match/1187019.html
23,Wankhede,11 Dec 2019,https://www.espncricinfo.com/ci/engine/match/1187020.html
24,Indore,7 Jan 2020,https://www.espncricinfo.com/ci/engine/match/1202243.html
25,Ahmedabad,12 Mar 2021,https://www.espncricinfo.com/ci/engine/match/1243388.html
26,Ahmedabad,14 Mar 2021,https://www.espncricinfo.com/ci/engine/match/1243389.html
27,Ahmedabad,16 Mar 2021,https://www.espncricinfo.com/ci/engine/match/1243390.html
28,Ahmedabad,18 Mar 2021,https://www.espncricinfo.com/ci/engine/match/1243391.html
29,Dubai (DSC),24 Oct 2021,https://www.espncricinfo.com/ci/engine/match/1273727.html
30,Dubai (DSC),31 Oct 2021,https://www.espncricinfo.com/ci/engine/match/1273739.html
31,Abu Dhabi,3 Nov 2021,https://www.espncricinfo.com/ci/engine/match/1273744.html
32,Jaipur,17 Nov 2021,https://www.espncricinfo.com/ci/engine/match/1278671.html
33,Ranchi,19 Nov 2021,https://www.espncricinfo.com/ci/engine/match/1278672.html
34,Eden Gardens,21 Nov 2021,https://www.espncricinfo.com/ci/engine/match/1278673.html
35,Eden Gardens,16 Feb 2022,https://www.espncricinfo.com/ci/engine/match/1278679.html
36,Eden Gardens,18 Feb 2022,https://www.espncricinfo.com/ci/engine/match/1278680.html
37,Delhi,9 Jun 2022,https://www.espncricinfo.com/ci/engine/match/1278687.html
38,Cuttack,12 Jun 2022,https://www.espncricinfo.com/ci/engine/match/1278688.html
